selection_rank,prompt_id,category,prompt,negative_prompt,seed,nfe,guidance,candidate_id,selected_image,selected_image_sha256,selection_notes
1,showcase-replacement-alpine-lake,landscapes,"a crystal alpine lake reflecting snow capped mountains at sunrise, golden mist, serene cinematic landscape painting","blurry, malformed, distorted, text, watermark, logo",760004,15,5.0,showcase-replacement-alpine-lake-v04,images/01-showcase-replacement-alpine-lake.png,d9ddf97668a43a8468341f7c1bce9611675f52a3edec3544790dfb3ba6df7142,"Replaced the malformed fox after full-resolution review; crisp mountain silhouettes, luminous reflection, and balanced golden-blue color."
2,showcase-rescue-animals-owl,animals,"a graceful white owl perched on a simple branch, soft blue forest background, elegant watercolor wildlife illustration","blurry, malformed, distorted, text, watermark, logo",880004,15,5.0,showcase-rescue-animals-owl-v04,images/02-showcase-rescue-animals-owl.png,3a0a7be8c36b16eb249136654a0b59b712a73d320e00493efc939d52e03ee0c7,Most recognizable and clean owl in the rescue pool; elegant watercolor treatment.
3,showcase-replacement-lavender-hills,landscapes,"rolling lavender hills beneath a soft peach sunset, distant cypress trees, dreamy impressionist landscape","blurry, malformed, distorted, text, watermark, logo",760103,15,5.0,showcase-replacement-lavender-hills-v03,images/03-showcase-replacement-lavender-hills.png,3452b425e6fd80d333b7b236f12dd8d788e9bfc04605a125ff44582a9cfd957b,Replaced the questionable cat anatomy; sweeping lavender rows and a clean peach-blue sunset gradient.
4,showcase-replacement-magnolia,botanical,"a graceful magnolia branch with white blossoms on a deep teal background, delicate botanical painting","blurry, malformed, distorted, text, watermark, logo",760505,15,5.0,showcase-replacement-magnolia-v05,images/04-showcase-replacement-magnolia.png,f2e18aabd4115b115a0007b2f86f46a5421a0e58a7044c0d8955e96b17e95c4d,Replaced the under-defined rabbit; graceful blossom clusters and elegant negative space on teal.
5,showcase-replacement-autumn-forest,landscapes,"a golden autumn forest at dusk, long sunbeams through amber leaves, atmospheric landscape painting","blurry, malformed, distorted, text, watermark, logo",990003,15,5.0,showcase-replacement-autumn-forest-v03,images/05-showcase-replacement-autumn-forest.png,28e48f6befe7c86f6ba4bc0fe4b3d2096a5a7125bef1346702bfa8eab5fc852e,"Replaced unreliable deer anatomy with a luminous, structurally clean autumn path."
6,showcase-animals-05,animals,"a blue kingfisher above a quiet woodland stream, sparkling water, detailed nature illustration","blurry, malformed, distorted, text, watermark, logo",640501,15,5.0,showcase-animals-05-v01,images/06-showcase-animals-05.png,bf898733b9cf7b9a4269bb942e7897864d2289534eb612a9c302345ac841cba3,"Clean kingfisher profile, crisp reflection, and saturated blue plumage."
7,showcase-animals-06,animals,"a golden retriever puppy sitting in tall summer grass, warm backlight, joyful natural photograph","blurry, malformed, distorted, text, watermark, logo",640602,15,5.0,showcase-animals-06-v02,images/07-showcase-animals-06.png,6f7b73d18474da084c229aee5c08ef5ac356cf1358d3f8cb22b36d48ab6a083e,Best facial structure and soft golden field lighting.
8,showcase-replacement-hydrangeas,botanical,"blue hydrangea blossoms in a simple white ceramic vase, soft window light, refined botanical still life","blurry, malformed, distorted, text, watermark, logo",760404,15,5.0,showcase-replacement-hydrangeas-v04,images/08-showcase-replacement-hydrangeas.png,de2b5e07a84c7a8b151d4657fc458b208cef89fade3bb7a3690a91b949d3a41d,"Replaced an anatomy-sensitive animal image; clean blue-white floral mass, readable vase, and soft window light."
9,showcase-landscapes-00,landscapes,"an alpine lake reflecting snowy mountains at sunrise, glassy water, luminous landscape photograph","blurry, malformed, distorted, text, watermark, logo",640803,15,5.0,showcase-landscapes-00-v03,images/09-showcase-landscapes-00.png,00c30e3e33498c45c7d9b2e4a58a2c5f5a47e2e3c8c5b782262ceab0a2da0111,"Strong mountain reflection, calm horizon, and subtle sunrise gradient."
10,showcase-landscapes-01,landscapes,"rolling green hills beneath dramatic summer clouds, winding country path, painterly sunlight","blurry, malformed, distorted, text, watermark, logo",640903,15,5.0,showcase-landscapes-01-v03,images/10-showcase-landscapes-01.png,f0ec29484a6c50051e635723f356a5ca4d42eb62e073099c608ee2e6a8dad7e5,Smooth rolling hills and dramatic but uncluttered cloud mass.
